Company,Valuation ($B),Date Joined,Year Joined,Month Joined,Day Joined,Industry,City,Country,Continent,Years to Unicorn,Year Founded,Funding ($B),Investor 1,Investor 2,Investor 3,Investor 4,Investors
Bytedance,180,4/7/17,2017,04,07,Artificial intelligence,Beijing,China,Asia,5,2012,8,Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group"
SpaceX,100,12/1/12,2012,12,01,Other,Hawthorne,United States,North America,10,2002,7,Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures,,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures"
SHEIN,100,7/3/18,2018,07,03,E-commerce & direct-to-consumer,Shenzhen,China,Asia,10,2008,2,Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners,,"Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners"
Stripe,95,1/23/14,2014,01,23,Fintech,San Francisco,United States,North America,4,2010,2,Khosla Ventures, LowercaseCapital, capitalG,,"Khosla Ventures, LowercaseCapital, capitalG"
Klarna,46,12/12/11,2011,12,12,Fintech,Stockholm,Sweden,Europe,6,2005,4,Institutional Venture Partners, Sequoia Capital, General Atlantic,,"Institutional Venture Partners, Sequoia Capital, General Atlantic"
Canva,40,1/8/18,2018,01,08,Internet software & services,Surry Hills,Australia,Oceania,6,2012,0.572,Sequoia Capital China, Blackbird Ventures, Matrix Partners,,"Sequoia Capital China, Blackbird Ventures, Matrix Partners"
Checkout.com,40,5/2/19,2019,05,02,Fintech,London,United Kingdom,Europe,7,2012,2,Tiger Global Management, Insight Partners, DST Global,,"Tiger Global Management, Insight Partners, DST Global"
Instacart,39,12/30/14,2014,12,30,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2,2012,3,Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund,,"Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund"
JUUL Labs,38,12/20/17,2017,12,20,Consumer & retail,San Francisco,United States,North America,2,2015,14,Tiger Global Management,,,,Tiger Global Management
Databricks,38,2/5/19,2019,02,05,Data management & analytics,San Francisco,United States,North America,6,2013,3,Andreessen Horowitz, New Enterprise Associates, Battery Ventures,,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures"
Revolut,33,4/26/18,2018,04,26,Fintech,London,United Kingdom,Europe,3,2015,2,index Ventures, DST Global, Ribbit Capital,,"index Ventures, DST Global, Ribbit Capital"
Epic Games,32,10/26/18,2018,10,26,Other,Cary,United States,North America,27,1991,7,Tencent Holdings, KKR, Smash Ventures,,"Tencent Holdings, KKR, Smash Ventures"
FTX,32,7/20/21,2021,07,20,Fintech,,Bahamas,North America,3,2018,2,Sequoia Capital, Thoma Bravo, Softbank,,"Sequoia Capital, Thoma Bravo, Softbank"
Fanatics,27,6/6/12,2012,06,06,E-commerce & direct-to-consumer,Jacksonville,United States,North America,10,2002,4,SoftBank Group, Andreessen Horowitz, Temasek Holdings,,"SoftBank Group, Andreessen Horowitz, Temasek Holdings"
Chime,25,3/5/19,2019,03,05,Fintech,San Francisco,United States,North America,6,2013,2,Forerunner Ventures, Crosslink Capital, Homebrew,,"Forerunner Ventures, Crosslink Capital, Homebrew"
BYJU's,22,7/25/17,2017,07,25,Edtech,Bengaluru,India,Asia,9,2008,4,Tencent Holdings, Lightspeed India Partners, Sequoia Capital India,,"Tencent Holdings, Lightspeed India Partners, Sequoia Capital India"
J&T Express,20,4/7/21,2021,04,07,"Supply chain, logistics, & delivery",Jakarta,Indonesia,Asia,6,2015,5,Hillhouse Capital Management, Boyu Capital, Sequoia Capital China,,"Hillhouse Capital Management, Boyu Capital, Sequoia Capital China"
Xiaohongshu,20,3/31/16,2016,03,31,E-commerce & direct-to-consumer,Shanghai,China,Asia,3,2013,0.918,GGV Capital, ZhenFund, Tencent,,"GGV Capital, ZhenFund, Tencent"
Miro,18,1/5/22,2022,01,05,Internet software & services,San Francisco,United States,North America,11,2011,0.476,Accel, AltaIR Capital, Technology Crossover Ventures,,"Accel, AltaIR Capital, Technology Crossover Ventures"
Yuanfudao,17,5/31/17,2017,05,31,Edtech,Beijing,China,Asia,5,2012,4,Tencent Holdings, Warbug Pincus, IDG Capital,,"Tencent Holdings, Warbug Pincus, IDG Capital"
Rapyd,15,12/3/19,2019,12,03,Fintech,London,United Kingdom,Europe,3,2016,0.77,Target Global, General Catalyst, Durable Capital Partners,,"Target Global, General Catalyst, Durable Capital Partners"
Discord,15,4/20/18,2018,04,20,Internet software & services,San Francisco,United States,North America,6,2012,0.979,Benchmark, Greylock Partners, Tencent Holdings,,"Benchmark, Greylock Partners, Tencent Holdings"
Genki Forest,15,3/1/20,2020,03,01,Consumer & retail,Beijing,China,Asia,4,2016,0.721,Sequoia Capital China, Longfor Capitalm, Gaorong Capital,,"Sequoia Capital China, Longfor Capitalm, Gaorong Capital"
goPuff,15,10/8/20,2020,10,08,E-commerce & direct-to-consumer,Philadelphia,United States,North America,7,2013,3,Accel, Softbank Group, Anthos Capital,,"Accel, Softbank Group, Anthos Capital"
Blockchain.com,14,2/17/21,2021,02,17,Fintech,London,United Kingdom,Europe,10,2011,0.49,Lightspeed Venture Partners, Google Ventures, Lakestar,,"Lightspeed Venture Partners, Google Ventures, Lakestar"
Plaid,13,12/11/18,2018,12,11,Fintech,San Francisco,United States,North America,6,2012,0.734,New Enterprise Associates, Spar Capital, Index Ventures,,"New Enterprise Associates, Spar Capital, Index Ventures"
Devoted Health,13,10/16/18,2018,10,16,Health,Waltham,United States,North America,1,2017,2,Andreessen Horowitz, F-Prime Capital, Venrock,,"Andreessen Horowitz, F-Prime Capital, Venrock"
OpenSea,13,7/20/21,2021,07,20,E-commerce & direct-to-consumer,New York,United States,North America,4,2017,0.427,Andreessen Horowitz, Thirty Five Ventures, Sound Ventures,,"Andreessen Horowitz, Thirty Five Ventures, Sound Ventures"
Grammarly,13,10/10/19,2019,10,10,Internet software & services,San Francisco,United States,North America,10,2009,0.4,General Catalyst, Institutional Venture Partners, Breyer Capital,,"General Catalyst, Institutional Venture Partners, Breyer Capital"
Argo AI,12,7/12/19,2019,07,12,Artificial intelligence,Pittsburgh,United States,North America,3,2016,4,Volkswagen Group, Ford Autonomous Vehicles,,,"Volkswagen Group, Ford Autonomous Vehicles"
Northvolt,12,6/12/19,2019,06,12,Other,Stockholm,Sweden,Europe,3,2016,4,Vattenfall, Volkswagen Group, Goldman Sachs,,"Vattenfall, Volkswagen Group, Goldman Sachs"
